date,period,name,title,type,link
20220506,188,施能傑,行政院人事行政總處_人事長,01一般申報,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=63737
20220506,188,施能傑,行政院人事行政總處_人事長,04信託申報,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=63738
20210824,180,施能傑,行政院人事行政總處_人事長,08信託指示通知,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=62648
20210129,170,施能傑,行政院人事行政總處_人事長,01一般申報,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=61103
20210129,170,施能傑,行政院人事行政總處_人事長,04信託申報,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=61104
20201208,168,施能傑,行政院人事行政總處_人事長,08信託指示通知,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=60810
20200224,156,施能傑,行政院人事行政總處_人事長,01一般申報,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=57007
20200224,156,施能傑,行政院人事行政總處_人事長,04信託申報,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=57008
20200224,156,施能傑,行政院人事行政總處_人事長,08信託指示通知,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=57018
20190329,143,施能傑,行政院人事行政總處_人事長,01一般申報,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=56382
20190329,143,施能傑,行政院人事行政總處_人事長,04信託申報,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=56383
20181116,138,施能傑,行政院人事行政總處_人事長,08信託指示通知,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=58414
20180416,130,施能傑,行政院人事行政總處_人事長,01一般申報,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=48625
20180416,130,施能傑,行政院人事行政總處_人事長,08信託指示通知,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=48716
20180416,130,施能傑,行政院人事行政總處_人事長,08信託指示通知,https://priq-out.cy.gov.tw/GipExtendWeb/wSite/SpecialPublication/fileDownload.jsp?id=48717
